"","field","type","filename","p_f","p_g","p_l"
"34",DN6,Red,res/DN6_Red_8.00_1.00_3.00.pdf,1,1,1
"35",DN6,Red,res/DN6_Red_9.00_1.00_3.00.pdf,1,1,1
"36",DN6,Red,res/DN6_Red_10.00_1.00_3.00.pdf,0.84,1,1
"37",DN6,Red,res/DN6_Red_5.00_3.00_3.00.pdf,1,1,1
"38",DN6,Red,res/DN6_Red_6.00_3.00_3.00.pdf,1,1,1
"39",DN6,Red,res/DN6_Red_7.00_3.00_3.00.pdf,1,1,1
"40",DN6,Red,res/DN6_Red_8.00_3.00_3.00.pdf,0.98,1,1
"41",DN6,Red,res/DN6_Red_9.00_3.00_3.00.pdf,0.59,1,1
"42",DN6,Red,res/DN6_Red_10.00_3.00_3.00.pdf,0.57,1,1
"43",DN6,Red,res/DN6_Red_5.00_5.00_3.00.pdf,1,1,1
"44",DN6,Red,res/DN6_Red_6.00_5.00_3.00.pdf,1,1,1
"45",DN6,Red,res/DN6_Red_7.00_5.00_3.00.pdf,0.87,1,1
"46",DN6,Red,res/DN6_Red_8.00_5.00_3.00.pdf,0.38,1,1
"47",DN6,Red,res/DN6_Red_9.00_5.00_3.00.pdf,0.73,1,1
"48",DN6,Red,res/DN6_Red_10.00_5.00_3.00.pdf,NA,NA,NA
"49",DN6,Red,res/DN6_Red_5.00_7.00_3.00.pdf,1,1,1
"50",DN6,Red,res/DN6_Red_6.00_7.00_3.00.pdf,0.82,1,1
"51",DN6,Red,res/DN6_Red_7.00_7.00_3.00.pdf,0.36,0.86,1
"52",DN6,Red,res/DN6_Red_8.00_7.00_3.00.pdf,0.37,1,1
"53",DN6,Red,res/DN6_Red_9.00_7.00_3.00.pdf,NA,NA,NA
"54",DN6,Red,res/DN6_Red_10.00_7.00_3.00.pdf,NA,NA,NA
"55",DN6,Red,res/DN6_Red_5.00_9.00_3.00.pdf,0.86,1,1
"56",DN6,Red,res/DN6_Red_6.00_9.00_3.00.pdf,0.72,1,1
"57",DN6,Red,res/DN6_Red_7.00_9.00_3.00.pdf,0.33,0.83,0.99
"58",DN6,Red,res/DN6_Red_8.00_9.00_3.00.pdf,NA,NA,NA
"59",DN6,Red,res/DN6_Red_9.00_9.00_3.00.pdf,NA,NA,NA
"60",DN6,Red,res/DN6_Red_10.00_9.00_3.00.pdf,NA,NA,NA
"61",DN6,Red,res/DN6_Red_5.00_1.00_5.00.pdf,1,1,1
"62",DN6,Red,res/DN6_Red_6.00_1.00_5.00.pdf,1,1,1
"63",DN6,Red,res/DN6_Red_7.00_1.00_5.00.pdf,1,1,1
"64",DN6,Red,res/DN6_Red_8.00_1.00_5.00.pdf,1,1,1
"65",DN6,Red,res/DN6_Red_9.00_1.00_5.00.pdf,1,1,1
"66",DN6,Red,res/DN6_Red_10.00_1.00_5.00.pdf,0.8,1,1
"67",DN6,Red,res/DN6_Red_5.00_3.00_5.00.pdf,1,1,1
"68",DN6,Red,res/DN6_Red_6.00_3.00_5.00.pdf,1,1,1
"69",DN6,Red,res/DN6_Red_7.00_3.00_5.00.pdf,1,1,1
"70",DN6,Red,res/DN6_Red_8.00_3.00_5.00.pdf,0.91,1,1
"71",DN6,Red,res/DN6_Red_9.00_3.00_5.00.pdf,0.5,1,1
"72",DN6,Red,res/DN6_Red_10.00_3.00_5.00.pdf,0.8,1,1
"73",DN6,Red,res/DN6_Red_5.00_5.00_5.00.pdf,1,1,1
"74",DN6,Red,res/DN6_Red_6.00_5.00_5.00.pdf,0.97,1,1
"75",DN6,Red,res/DN6_Red_7.00_5.00_5.00.pdf,0.59,1,1
"76",DN6,Red,res/DN6_Red_8.00_5.00_5.00.pdf,0.56,1,1
"77",DN6,Red,res/DN6_Red_9.00_5.00_5.00.pdf,NA,NA,NA
"78",DN6,Red,res/DN6_Red_10.00_5.00_5.00.pdf,NA,NA,NA
"79",DN6,Red,res/DN6_Red_5.00_7.00_5.00.pdf,0.9,0.96,1
"80",DN6,Red,res/DN6_Red_6.00_7.00_5.00.pdf,0.32,1,1
"81",DN6,Red,res/DN6_Red_7.00_7.00_5.00.pdf,0.62,1,1
"82",DN6,Red,res/DN6_Red_8.00_7.00_5.00.pdf,NA,NA,NA
"83",DN6,Red,res/DN6_Red_9.00_7.00_5.00.pdf,NA,NA,NA
"84",DN6,Red,res/DN6_Red_10.00_7.00_5.00.pdf,NA,NA,NA
"85",DN6,Red,res/DN6_Red_5.00_9.00_5.00.pdf,0.34,1,1
"86",DN6,Red,res/DN6_Red_6.00_9.00_5.00.pdf,NA,NA,NA
"87",DN6,Red,res/DN6_Red_7.00_9.00_5.00.pdf,NA,NA,NA
"88",DN6,Red,res/DN6_Red_8.00_9.00_5.00.pdf,NA,NA,NA
"89",DN6,Red,res/DN6_Red_9.00_9.00_5.00.pdf,NA,NA,NA
"90",DN6,Red,res/DN6_Red_10.00_9.00_5.00.pdf,NA,NA,NA
