"","field","type","filename","p_f","p_g","p_l"
"1",DN6,Red,res/DN6_Red_5.00_1.00_1.00.pdf,1,1,1
"2",DN6,Red,res/DN6_Red_6.00_1.00_1.00.pdf,1,1,1
"3",DN6,Red,res/DN6_Red_7.00_1.00_1.00.pdf,1,1,1
"4",DN6,Red,res/DN6_Red_8.00_1.00_1.00.pdf,1,1,1
"5",DN6,Red,res/DN6_Red_9.00_1.00_1.00.pdf,1,1,1
"6",DN6,Red,res/DN6_Red_10.00_1.00_1.00.pdf,0.9,1,1
"7",DN6,Red,res/DN6_Red_5.00_3.00_1.00.pdf,1,1,1
"8",DN6,Red,res/DN6_Red_6.00_3.00_1.00.pdf,1,1,1
"9",DN6,Red,res/DN6_Red_7.00_3.00_1.00.pdf,1,1,1
"10",DN6,Red,res/DN6_Red_8.00_3.00_1.00.pdf,1,1,1
"11",DN6,Red,res/DN6_Red_9.00_3.00_1.00.pdf,0.94,1,1
"12",DN6,Red,res/DN6_Red_10.00_3.00_1.00.pdf,0.49,1,1
"13",DN6,Red,res/DN6_Red_5.00_5.00_1.00.pdf,1,1,1
"14",DN6,Red,res/DN6_Red_6.00_5.00_1.00.pdf,1,1,1
"15",DN6,Red,res/DN6_Red_7.00_5.00_1.00.pdf,1,1,1
"16",DN6,Red,res/DN6_Red_8.00_5.00_1.00.pdf,0.98,1,1
"17",DN6,Red,res/DN6_Red_9.00_5.00_1.00.pdf,0.88,1,1
"18",DN6,Red,res/DN6_Red_10.00_5.00_1.00.pdf,0.42,1,1
"19",DN6,Red,res/DN6_Red_5.00_7.00_1.00.pdf,1,1,1
"20",DN6,Red,res/DN6_Red_6.00_7.00_1.00.pdf,1,1,1
"21",DN6,Red,res/DN6_Red_7.00_7.00_1.00.pdf,1,1,1
"22",DN6,Red,res/DN6_Red_8.00_7.00_1.00.pdf,0.97,1,1
"23",DN6,Red,res/DN6_Red_9.00_7.00_1.00.pdf,0.79,1,1
"24",DN6,Red,res/DN6_Red_10.00_7.00_1.00.pdf,NA,NA,NA
"25",DN6,Red,res/DN6_Red_5.00_9.00_1.00.pdf,1,1,1
"26",DN6,Red,res/DN6_Red_6.00_9.00_1.00.pdf,1,1,1
"27",DN6,Red,res/DN6_Red_7.00_9.00_1.00.pdf,1,1,1
"28",DN6,Red,res/DN6_Red_8.00_9.00_1.00.pdf,0.98,1,1
"29",DN6,Red,res/DN6_Red_9.00_9.00_1.00.pdf,NA,NA,NA
"30",DN6,Red,res/DN6_Red_10.00_9.00_1.00.pdf,NA,NA,NA
"31",DN6,Red,res/DN6_Red_5.00_1.00_3.00.pdf,1,1,1
"32",DN6,Red,res/DN6_Red_6.00_1.00_3.00.pdf,1,1,1
"33",DN6,Red,res/DN6_Red_7.00_1.00_3.00.pdf,1,1,1
