"","field","type","filename","p_f","p_g","p_l"
"74",DN1,Violet,res/DN1_Violet_6.00_5.00_5.00.pdf,1,1,1
"75",DN1,Violet,res/DN1_Violet_7.00_5.00_5.00.pdf,1,1,1
"76",DN1,Violet,res/DN1_Violet_8.00_5.00_5.00.pdf,1,1,1
"77",DN1,Violet,res/DN1_Violet_9.00_5.00_5.00.pdf,0.99,1,1
"78",DN1,Violet,res/DN1_Violet_10.00_5.00_5.00.pdf,0.94,1,1
"79",DN1,Violet,res/DN1_Violet_5.00_7.00_5.00.pdf,1,1,1
"80",DN1,Violet,res/DN1_Violet_6.00_7.00_5.00.pdf,1,1,1
"81",DN1,Violet,res/DN1_Violet_7.00_7.00_5.00.pdf,0.99,1,1
"82",DN1,Violet,res/DN1_Violet_8.00_7.00_5.00.pdf,0.96,1,1
"83",DN1,Violet,res/DN1_Violet_9.00_7.00_5.00.pdf,0.89,1,1
"84",DN1,Violet,res/DN1_Violet_10.00_7.00_5.00.pdf,0.63,0.99,1
"85",DN1,Violet,res/DN1_Violet_5.00_9.00_5.00.pdf,0.99,1,1
"86",DN1,Violet,res/DN1_Violet_6.00_9.00_5.00.pdf,1,1,1
"87",DN1,Violet,res/DN1_Violet_7.00_9.00_5.00.pdf,0.95,1,1
"88",DN1,Violet,res/DN1_Violet_8.00_9.00_5.00.pdf,0.76,0.98,1
"89",DN1,Violet,res/DN1_Violet_9.00_9.00_5.00.pdf,0.76,0.95,1
"90",DN1,Violet,res/DN1_Violet_10.00_9.00_5.00.pdf,0.69,1,1
