"","field","type","filename","p_f","p_g","p_l"
"1",DN3,Blue,res/DN3_Blue_5.00_1.00_1.00.pdf,1,1,1
"2",DN3,Blue,res/DN3_Blue_6.00_1.00_1.00.pdf,1,1,1
"3",DN3,Blue,res/DN3_Blue_7.00_1.00_1.00.pdf,1,1,1
"4",DN3,Blue,res/DN3_Blue_8.00_1.00_1.00.pdf,1,1,1
"5",DN3,Blue,res/DN3_Blue_9.00_1.00_1.00.pdf,1,1,1
"6",DN3,Blue,res/DN3_Blue_10.00_1.00_1.00.pdf,1,1,1
"7",DN3,Blue,res/DN3_Blue_5.00_3.00_1.00.pdf,1,1,1
"8",DN3,Blue,res/DN3_Blue_6.00_3.00_1.00.pdf,1,1,1
"9",DN3,Blue,res/DN3_Blue_7.00_3.00_1.00.pdf,1,1,1
"10",DN3,Blue,res/DN3_Blue_8.00_3.00_1.00.pdf,1,1,1
"11",DN3,Blue,res/DN3_Blue_9.00_3.00_1.00.pdf,1,1,1
"12",DN3,Blue,res/DN3_Blue_10.00_3.00_1.00.pdf,0.97,1,1
"13",DN3,Blue,res/DN3_Blue_5.00_5.00_1.00.pdf,1,1,1
"14",DN3,Blue,res/DN3_Blue_6.00_5.00_1.00.pdf,1,1,1
"15",DN3,Blue,res/DN3_Blue_7.00_5.00_1.00.pdf,1,1,1
"16",DN3,Blue,res/DN3_Blue_8.00_5.00_1.00.pdf,1,1,1
"17",DN3,Blue,res/DN3_Blue_9.00_5.00_1.00.pdf,0.99,1,1
"18",DN3,Blue,res/DN3_Blue_10.00_5.00_1.00.pdf,0.95,1,1
"19",DN3,Blue,res/DN3_Blue_5.00_7.00_1.00.pdf,1,1,1
"20",DN3,Blue,res/DN3_Blue_6.00_7.00_1.00.pdf,1,1,1
"21",DN3,Blue,res/DN3_Blue_7.00_7.00_1.00.pdf,1,1,1
"22",DN3,Blue,res/DN3_Blue_8.00_7.00_1.00.pdf,1,1,1
"23",DN3,Blue,res/DN3_Blue_9.00_7.00_1.00.pdf,1,1,1
"24",DN3,Blue,res/DN3_Blue_10.00_7.00_1.00.pdf,0.94,1,1
"25",DN3,Blue,res/DN3_Blue_5.00_9.00_1.00.pdf,1,1,1
"26",DN3,Blue,res/DN3_Blue_6.00_9.00_1.00.pdf,1,1,1
"27",DN3,Blue,res/DN3_Blue_7.00_9.00_1.00.pdf,1,1,1
"28",DN3,Blue,res/DN3_Blue_8.00_9.00_1.00.pdf,1,1,1
"29",DN3,Blue,res/DN3_Blue_9.00_9.00_1.00.pdf,1,1,1
"30",DN3,Blue,res/DN3_Blue_10.00_9.00_1.00.pdf,0.93,1,1
"31",DN3,Blue,res/DN3_Blue_5.00_1.00_3.00.pdf,1,1,1
"32",DN3,Blue,res/DN3_Blue_6.00_1.00_3.00.pdf,1,1,1
"33",DN3,Blue,res/DN3_Blue_7.00_1.00_3.00.pdf,1,1,1
"34",DN3,Blue,res/DN3_Blue_8.00_1.00_3.00.pdf,1,1,1
"35",DN3,Blue,res/DN3_Blue_9.00_1.00_3.00.pdf,1,1,1
"36",DN3,Blue,res/DN3_Blue_10.00_1.00_3.00.pdf,1,1,1
"37",DN3,Blue,res/DN3_Blue_5.00_3.00_3.00.pdf,1,1,1
"38",DN3,Blue,res/DN3_Blue_6.00_3.00_3.00.pdf,1,1,1
"39",DN3,Blue,res/DN3_Blue_7.00_3.00_3.00.pdf,1,1,1
"40",DN3,Blue,res/DN3_Blue_8.00_3.00_3.00.pdf,1,1,1
"41",DN3,Blue,res/DN3_Blue_9.00_3.00_3.00.pdf,0.96,1,1
"42",DN3,Blue,res/DN3_Blue_10.00_3.00_3.00.pdf,0.89,1,1
"43",DN3,Blue,res/DN3_Blue_5.00_5.00_3.00.pdf,1,1,1
"44",DN3,Blue,res/DN3_Blue_6.00_5.00_3.00.pdf,1,1,1
"45",DN3,Blue,res/DN3_Blue_7.00_5.00_3.00.pdf,1,1,1
