"","field","type","filename","p_f","p_g","p_l"
"50",DN1,Blue,res/DN1_Blue_6.00_7.00_3.00.pdf,0.93,1,1
"51",DN1,Blue,res/DN1_Blue_7.00_7.00_3.00.pdf,0.81,0.98,1
"52",DN1,Blue,res/DN1_Blue_8.00_7.00_3.00.pdf,0.72,1,1
"53",DN1,Blue,res/DN1_Blue_9.00_7.00_3.00.pdf,NA,NA,NA
"54",DN1,Blue,res/DN1_Blue_10.00_7.00_3.00.pdf,NA,NA,NA
"55",DN1,Blue,res/DN1_Blue_5.00_9.00_3.00.pdf,1,1,1
"56",DN1,Blue,res/DN1_Blue_6.00_9.00_3.00.pdf,0.96,1,1
"57",DN1,Blue,res/DN1_Blue_7.00_9.00_3.00.pdf,0.84,0.8,1
"58",DN1,Blue,res/DN1_Blue_8.00_9.00_3.00.pdf,NA,NA,NA
"59",DN1,Blue,res/DN1_Blue_9.00_9.00_3.00.pdf,NA,NA,NA
"60",DN1,Blue,res/DN1_Blue_10.00_9.00_3.00.pdf,NA,NA,NA
"61",DN1,Blue,res/DN1_Blue_5.00_1.00_5.00.pdf,1,1,1
"62",DN1,Blue,res/DN1_Blue_6.00_1.00_5.00.pdf,1,1,1
"63",DN1,Blue,res/DN1_Blue_7.00_1.00_5.00.pdf,1,1,1
"64",DN1,Blue,res/DN1_Blue_8.00_1.00_5.00.pdf,1,1,1
"65",DN1,Blue,res/DN1_Blue_9.00_1.00_5.00.pdf,1,1,1
"66",DN1,Blue,res/DN1_Blue_10.00_1.00_5.00.pdf,0.93,1,1
"67",DN1,Blue,res/DN1_Blue_5.00_3.00_5.00.pdf,1,1,1
"68",DN1,Blue,res/DN1_Blue_6.00_3.00_5.00.pdf,1,1,1
"69",DN1,Blue,res/DN1_Blue_7.00_3.00_5.00.pdf,0.99,1,1
"70",DN1,Blue,res/DN1_Blue_8.00_3.00_5.00.pdf,0.95,1,1
"71",DN1,Blue,res/DN1_Blue_9.00_3.00_5.00.pdf,0.57,1,1
"72",DN1,Blue,res/DN1_Blue_10.00_3.00_5.00.pdf,0.7,1,1
"73",DN1,Blue,res/DN1_Blue_5.00_5.00_5.00.pdf,1,1,1
"74",DN1,Blue,res/DN1_Blue_6.00_5.00_5.00.pdf,0.98,1,1
"75",DN1,Blue,res/DN1_Blue_7.00_5.00_5.00.pdf,0.86,1,1
"76",DN1,Blue,res/DN1_Blue_8.00_5.00_5.00.pdf,0.65,1,1
"77",DN1,Blue,res/DN1_Blue_9.00_5.00_5.00.pdf,0.65,1,1
"78",DN1,Blue,res/DN1_Blue_10.00_5.00_5.00.pdf,NA,NA,NA
"79",DN1,Blue,res/DN1_Blue_5.00_7.00_5.00.pdf,0.97,1,1
"80",DN1,Blue,res/DN1_Blue_6.00_7.00_5.00.pdf,0.75,0.94,1
"81",DN1,Blue,res/DN1_Blue_7.00_7.00_5.00.pdf,0.49,1,1
"82",DN1,Blue,res/DN1_Blue_8.00_7.00_5.00.pdf,0.81,1,1
"83",DN1,Blue,res/DN1_Blue_9.00_7.00_5.00.pdf,NA,NA,NA
"84",DN1,Blue,res/DN1_Blue_10.00_7.00_5.00.pdf,NA,NA,NA
"85",DN1,Blue,res/DN1_Blue_5.00_9.00_5.00.pdf,0.75,0.04,0.99
"86",DN1,Blue,res/DN1_Blue_6.00_9.00_5.00.pdf,0.75,1,1
"87",DN1,Blue,res/DN1_Blue_7.00_9.00_5.00.pdf,NA,NA,NA
"88",DN1,Blue,res/DN1_Blue_8.00_9.00_5.00.pdf,NA,NA,NA
"89",DN1,Blue,res/DN1_Blue_9.00_9.00_5.00.pdf,NA,NA,NA
"90",DN1,Blue,res/DN1_Blue_10.00_9.00_5.00.pdf,NA,NA,NA
