"","field","type","filename","p_f","p_g","p_l"
"1",DN5,Red,res/DN5_Red_5.00_1.00_1.00.pdf,1,1,1
"2",DN5,Red,res/DN5_Red_6.00_1.00_1.00.pdf,1,1,1
"3",DN5,Red,res/DN5_Red_7.00_1.00_1.00.pdf,1,1,1
"4",DN5,Red,res/DN5_Red_8.00_1.00_1.00.pdf,1,1,1
"5",DN5,Red,res/DN5_Red_9.00_1.00_1.00.pdf,1,1,1
"6",DN5,Red,res/DN5_Red_10.00_1.00_1.00.pdf,1,1,1
"7",DN5,Red,res/DN5_Red_5.00_3.00_1.00.pdf,1,1,1
"8",DN5,Red,res/DN5_Red_6.00_3.00_1.00.pdf,1,1,1
"9",DN5,Red,res/DN5_Red_7.00_3.00_1.00.pdf,1,1,1
"10",DN5,Red,res/DN5_Red_8.00_3.00_1.00.pdf,1,1,1
"11",DN5,Red,res/DN5_Red_9.00_3.00_1.00.pdf,1,1,1
"12",DN5,Red,res/DN5_Red_10.00_3.00_1.00.pdf,1,1,1
"13",DN5,Red,res/DN5_Red_5.00_5.00_1.00.pdf,1,1,1
"14",DN5,Red,res/DN5_Red_6.00_5.00_1.00.pdf,1,1,1
"15",DN5,Red,res/DN5_Red_7.00_5.00_1.00.pdf,1,1,1
"16",DN5,Red,res/DN5_Red_8.00_5.00_1.00.pdf,1,1,1
"17",DN5,Red,res/DN5_Red_9.00_5.00_1.00.pdf,1,1,1
"18",DN5,Red,res/DN5_Red_10.00_5.00_1.00.pdf,1,1,1
"19",DN5,Red,res/DN5_Red_5.00_7.00_1.00.pdf,1,1,1
"20",DN5,Red,res/DN5_Red_6.00_7.00_1.00.pdf,1,1,1
"21",DN5,Red,res/DN5_Red_7.00_7.00_1.00.pdf,1,1,1
"22",DN5,Red,res/DN5_Red_8.00_7.00_1.00.pdf,1,1,1
"23",DN5,Red,res/DN5_Red_9.00_7.00_1.00.pdf,1,1,1
"24",DN5,Red,res/DN5_Red_10.00_7.00_1.00.pdf,NA,NA,NA
"25",DN5,Red,res/DN5_Red_5.00_9.00_1.00.pdf,1,1,1
"26",DN5,Red,res/DN5_Red_6.00_9.00_1.00.pdf,1,1,1
"27",DN5,Red,res/DN5_Red_7.00_9.00_1.00.pdf,1,1,1
"28",DN5,Red,res/DN5_Red_8.00_9.00_1.00.pdf,1,1,1
"29",DN5,Red,res/DN5_Red_9.00_9.00_1.00.pdf,NA,NA,NA
"30",DN5,Red,res/DN5_Red_10.00_9.00_1.00.pdf,NA,NA,NA
"31",DN5,Red,res/DN5_Red_5.00_1.00_3.00.pdf,1,1,1
"32",DN5,Red,res/DN5_Red_6.00_1.00_3.00.pdf,1,1,1
"33",DN5,Red,res/DN5_Red_7.00_1.00_3.00.pdf,1,1,1
